,STATUS,SOC_NAME,POSITION_TYPE,WAGE,YEAR,REGION
398,CERTIFIED,Technical,Y,79435,2011, SOUTH
399,CERTIFIED,Technical,Y,68952,2011, WEST
400,CERTIFIED,Technical,Y,68390,2011, SOUTH
401,CERTIFIED,Technical,Y,78478,2011, NORTH EAST
402,CERTIFIED,Technical,Y,43160,2011, SOUTH
403,CERTIFIED,Technical,Y,76440,2011, MID WEST
404,CERTIFIED,Technical,Y,55224,2011, NORTH EAST
405,DENIED,Technical,Y,66830,2011, NORTH EAST
406,CERTIFIED,Technical,Y,85530,2011, NORTH EAST
407,CERTIFIED,Technical,Y,73504,2011, WEST
408,DENIED,Technical,Y,101629,2011, NORTH EAST
409,CERTIFIED,Technical,Y,44678,2011, NORTH EAST
410,CERTIFIED,Technical,Y,58115,2011, MID WEST
411,CERTIFIED,Technical,Y,67101,2011, NORTH EAST
412,DENIED,Technical,Y,48131,2011, SOUTH
413,CERTIFIED,Technical,Y,49608,2011, MID WEST
414,DENIED,Technical,Y,51034,2011, SOUTH
415,CERTIFIED,Technical,Y,48131,2011, SOUTH
416,CERTIFIED,Non-Technical,Y,71531,2011, NORTH EAST
417,CERTIFIED,Technical,Y,43638,2011, NORTH EAST
418,CERTIFIED,Technical,Y,82930,2011, WEST
419,CERTIFIED,Technical,Y,56347,2011, SOUTH
420,DENIED,Technical,Y,91312,2011, NORTH EAST
421,CERTIFIED,Technical,Y,49275,2011, SOUTH
422,CERTIFIED,Technical,Y,58906,2011, NORTH EAST
423,CERTIFIED,Technical,Y,42640,2011, NORTH EAST
424,CERTIFIED,Technical,Y,53373,2011, NORTH EAST
425,CERTIFIED,Technical,Y,74630,2011, MID WEST
426,CERTIFIED,Technical,Y,83450,2011, NORTH EAST
427,DENIED,Technical,Y,4795086.4,2011, NA
428,CERTIFIED,Technical,Y,49504,2011,SOUTH
429,CERTIFIED,Technical,Y,82930,2011, WEST
430,CERTIFIED,Technical,Y,70283,2011, WEST
431,CERTIFIED,Technical,Y,55452,2011, NORTH EAST
432,CERTIFIED,Technical,Y,69888,2011, MID WEST
433,CERTIFIED,Technical,Y,46301,2011, WEST
434,CERTIFIED,Technical,Y,38709,2011, SOUTH
435,CERTIFIED,Technical,Y,65541,2011, WEST
436,CERTIFIED,Technical,Y,74693,2011, MID WEST
437,DENIED,Technical,Y,49233.6,2011, SOUTH
438,CERTIFIED,Technical,Y,38293,2011, NORTH EAST
439,CERTIFIED,Technical,Y,58053,2011, NORTH EAST
440,CERTIFIED,Technical,Y,113339,2011, WEST
441,CERTIFIED,Technical,Y,55890,2011, NORTH EAST
442,CERTIFIED,Technical,Y,88899,2011, NORTH EAST
443,CERTIFIED,Technical,Y,73154,2011, NORTH EAST
444,CERTIFIED,Technical,Y,84219,2011, NORTH EAST
445,CERTIFIED,Technical,Y,85530,2011, NORTH EAST
446,CERTIFIED,Technical,Y,42848,2011, SOUTH
447,CERTIFIED,Technical,Y,34780,2011, MID WEST
448,CERTIFIED,Technical,Y,31928,2011, MID WEST
449,CERTIFIED,Technical,Y,48131.2,2011, SOUTH
450,CERTIFIED,Non-Technical,Y,53460,2011, WEST
451,CERTIFIED,Technical,Y,42723,2011, NORTH EAST
452,CERTIFIED,Technical,Y,55702,2011, NORTH EAST
453,CERTIFIED,Technical,Y,62316.8,2011, NORTH EAST
454,DENIED,Technical,Y,116189,2011, NORTH EAST
455,DENIED,Technical,Y,71822,2011, NA
456,CERTIFIED,Technical,Y,63544,2011, MID WEST
457,CERTIFIED,Technical,Y,77792,2011, NORTH EAST
458,DENIED,Technical,Y,64500,2011, NORTH EAST
459,CERTIFIED,Technical,Y,77300,2011, WEST
460,CERTIFIED,Technical,Y,56763.2,2011, NORTH EAST
461,CERTIFIED,Technical,Y,70907,2011,SOUTH
462,DENIED,Technical,Y,34986,2011, SOUTH
463,CERTIFIED,Technical,Y,44325,2011, MID WEST
464,CERTIFIED,Technical,Y,51938,2011, NORTH EAST
465,CERTIFIED,Technical,Y,77646,2011, MID WEST
466,CERTIFIED,Technical,Y,37336,2011, NORTH EAST
467,CERTIFIED,Technical,Y,59488,2011, MID WEST
468,CERTIFIED,Technical,Y,62566,2011, MID WEST
469,CERTIFIED,Technical,Y,93870,2011, SOUTH
470,CERTIFIED,Technical,Y,65541,2011, WEST
471,CERTIFIED,Technical,Y,75587,2011,SOUTH
472,CERTIFIED,Technical,Y,64880,2011, SOUTH
473,CERTIFIED,Technical,Y,51979,2011, SOUTH
474,CERTIFIED,Technical,Y,51376,2011, MID WEST
475,CERTIFIED,Technical,N,58905.6,2011, NORTH EAST
